t the
b be
and and
o of
a a
h have
i it
I I
y you
he he
w with
d do
s say
te they
at at
we we
f from
or or
sh she
wa what
g go
tr their
wi will
wh who
gt get
if if
wo would
m make
my my
k know
tm time
ya year
ti think
se see
whh which
soe some
th them
p people
ta take
me me
io into
hm him
c come
yr your
co could
then then
ho how
is its
to two
our our
tee these
wt want
ft first
ao also
n new
dy day
ma man
her here
fi find
gi give
thing thing
mny many
the those
tl tell
go good
u us
wn woman
l life
ch child
may may
wl world
sho should
ty try
so school
ak ask
too too
thee three
bm become
ne never
be between
sg something
realy really
fm family
pt put
od old
whe while
lt let
wy why
pe president
ke keep
sme same
ga great
begn begin
bi big
sem seem
gp group
cr country
pl problem
sd student
e every
as against
mh might
an again
cy city
fw few
st system
wee week
cn company
pent percent
hea hear
du during
pg program
nu number
sl small
gmt government
aw always
nt night
beee believe
tda today
hn happen
bg bring
wht without
lg large
mt must
wr war
r room
fa fact
aa area
no national
wte write
mony money
str story
wat water
mte mother
de different
yn young
mo month
lot lot
bo book
ee eye
j job
kn kind
wor word
sde side
fo four
bs business
ml million
ys yes
prvide provide
si service
importt important
sit sit
fe friend
hv however
pr power
ye yet
fr father
hr hour
ot often
pi political
aon among
ge game
er ever
lo lose
ba bad
mee member
met meet
la law
ast almost
car car
iu include
fie five
ce center
un university
ct continue
le least
ra real
whte white
sv several
ag ago
ifm information
nn nothing
cm community
ia idea
bd body
lar learn
kd kid
mut minute
table table
weth whether
und understand
tam team
tg together
fow follow
ang anything
sc social
ae already
paet parent
sk speak
cra create
oe office
al allow
rd read
spend spend
prn person
dr door
add add
set street
hit history
prt party
gw grow
re reason
mog morning
alh although
ns news
hl health
cu court
hel himself
ar air
art art
mn moment
rb remember
gl girl
by boy
fod food
gy guy
abl able
toa toward
maye maybe
eei everything
ap appear
pol policy
cd consider
ig including
py probably
ec education
aly actually
buy buy
wai wait
di die
sed send
fee fee
et expect
see serve
tc teacher
bui build
na nation
oh oh
dh death
in interest
sm someone
kl kill
six six
lc local
rem remain
ect effect
sgt suggest
pep perhaps
ri raise
cs class
yh yeah
es else
po photo
sel sell
tml themselves
fel field
cg college
som sometimes
fre former
del development
rqe require
dc decide
sec security
pb possible
eft effort
ro role
sng strong
ms music
lea leader
whoe whole
v voice
ht heart
poe police
eco economic
wif wife
fil finally
dug drug
adg according
pll pull
ds decision
ei explain
cary carry
do develop
sn son
dpe department
tre true
prc price
fea federal
ai action
tk thank
rn relationship
tow town
bdi building
rei receive
soie society
dic difference
chu church
fl full
ji join
roa road
it international
tx tax
dt director
aee agree
el especially
sp special
gu ground
whose whose
pk pick
pae paper
son season
wer wear
evt event
sae space
ple player
ern everyone
cupe couple
prdc produce
ste site
sii situation
iy industry
att activity
ea eat
ie itself
q quite
pc picture
dse describe
ime image
teach teach
wal wall
dct doctor
rc recent
pd product
dta data
ph phone
piec piece
ctn certain
ol oil
sml simply
pa personal
tir third
cpute computer
moe movie
wre worker
tye type
noh north
ant attention
teh technology
on organization
bb baby
sor source
drw draw
tree tree
film film
chs choose
eie evidence
R Republican
dfc difficult
cty century
ner nearly
red red
wio window
pei period
cur culture
hai hair
lie listen
cc chance
ab available
bt brother
smr summer
rl realize
pri private
sie science
ltr letter
crs congress
con condition
oy opportunity
cho choice
sig single
flo floor
trm term
mr material
mie mile
asa administration
cse course
des defense
ery energy
pu population
dhr daughter
ile involve
ha husband
cer certainly
sth south
medica medical
bod board
ane anyone
hop hospital
sek seek
mf myself
cont county
wes west
em economy
ql quickly
tw throw
bed bed
oce officer
rs represent
fll fill
autho author
up upon
gol goal
bh behavior
ntr nature
age agency
ren recently
fn foreign
crr current
pre performance
bk bank
ps push
rec reduce
fine fine
mmn movement
com common
bli billion
bld blood
pge page
poo poor
eer enter
sr series
uu usually
ntu natural
hot hot
lu language
rr river
da dead
snt significant
dcad decade
ale article
ts thus
sen seven
shoot shoot
est east
ana animal
smla similar
sve save
fac factor
cnl central
ocur occur
committ committee
srs serious
spr sport
exacty exactly
desp despite
hap happy
eit eight
prot protect
size size
qlt quality
psu pressure
ac accept
ry ready
cre career
dg dog
mea media
tt thought
wha whatever
dtn determine
tn television
mi meeting
scn scene
scs success
pp prepare
id identify
pir particularly
rse resource
amunt amount
au argue
rz recognize
tment treatment
lef left
dge degree
stk stock
idt indicate
gwt growth
smp simple
ay ability
dar dollar
uin union
dae disease
ed everybody
en election
ls loss
bx box
hre herself
mis miss
rein region
feei feeling
lay lay
tan training
mae message
are arrive
fal fail
stf staff
carr character
ary army
ason association
op operation
crie crime
cup cup
ian island
aass analysis
gs glass
fowr forward
aut authority
eh earth
sge stage
sa station
cly clearly
coa compare
ied indeed
knw knowledge
eml example
seg strategy
mtn mountain
gss guess
sse sister
gn gun
vu various
ert environment
sun sun
law lawyer
sex sex
ats artist
cb club
pov prove
scin section
skl skill
trh truth
mne manager
ece executive
dis district
for forget
hg hang
etr entire
leg leg
enm environmental
eta establish
dm democratic
roe remove
man main
pos professor
fc financial
eno enjoy
ntrk network
dsu discuss
tra trial
ll legal
cod cold
wp weapon
sog song
exe expert
rad radio
nc nice
aod avoid
meo memory
mm management
card card
mna maintain
teo theory
im imagine
smn statement
huge huge
rsn respond
ppr popular
phc physical
td traditional
cotin contain
pce peace
tns thanks
D Democrat
ip impact
stc structure
tgh tonight
dci direction
ono onto
ki king
ree reveal
cel cell
reo religious
bl ball
prtr particular
eme employee
sey suddenly
app apply
ske shake
cl cultural
cair chair
P PM
jc justice
dise discover
pcs politics
maae manage
trt treat
yf yourself
pai pain
een evening
ui unit
afe affect
pdu production
bit bit
peo perform
nr necessary
cnf conference
cant candidate
mus museum
sic specific
tot throughout
hal hall
fs fish
tp trip
edg edge
stl style
ten ten
wg weight
alt adult
mhd method
sy somebody
maze magazine
rle reflect
hav heavy
soler soldier
pry property
bu beautiful
wir writer
ca camera
ir improve
she shoulder
bar bar
hoe hotel
hil hill
ex exist
sea sea
ito institution
purose purpose
paen pattern
dei detail
mac machine
ower owner
aen agent
tu tough
get generation
cec commercial
who whom
srae surface
bet budget
sent senator
bag bag
riy reality
edi editor
ted tend
cv civil
dco discussion
mom mom
vn violence
skn skin
ci council
nor nor
md modern
sing sing
cae cancer
fg finger
lae lake
mia marriage
vi victim
tsk task
yar yard
kt kitchen
iem item
repn responsibility
mout mouth
agee agreement
attr attorney
cp capital
trea threat
gas gas
posit positive
isn investment
rh rich
cte citizen
adi audience
lady lady
dn dinner
wste western
cnur consumer
mry majority
int interesting
pv prevent
br born
rel relate
asu assume
noe none
ait admit
cah coach
paer partner
shot shot
ss scientist
sf suffer
cio collection
scc successful
spe speech
eey eventually
msn mission
np newspaper
rm reform
crne concerned
rli relation
top troops
gen garden
plh publish
rcl recall
S Soviet
suhe southern
seat senate
onio opinion
opn option
og original
cut customer
cil critical
crer corner
bc basic
icme income
dcy directly
ru restaurant
ng neighborhood
ef effective
labo labor
nb nobody
sare stare
iet immediately
ahi achieve
frt forest
dad dad
hu hurt
vio video
sfey safety
aol absolutely
ter therefore
free freedom
vrs version
pne plane
ate attitude
sx sexual
rer refer
fsh fresh
ild involved
pel powerful
bird bird
vie variety
txt text
wid wide
nne nine
ii investigation
ance announce
come completely
coi conflict
rae replace
ated attend
piat participant
aumnt argument
nl nuclear
sky sky
atn afternoon
hnd hundred
ecue encourage
